"자치구명","생년월일","성별","동일세대_학령기인구수","동일세대_미취학아동수","직업군","평균_문자대상자수","평균_통화대상자수","평균_통화량","세대주여부","1인가구여부","주택보유여부","대출여부","연체여부","사업자여부","동일세대_세대원_수","추정연소득","추정연소득_백분위","총자산평가금액","순자산평가금액","차량보유","총대출약정금액","주택담보대출약정금액","신용대출약정금액","자동차대출약정금액","카드소비금액","신용카드소비금액","체크카드소비금액","일시불이용금액","할부이용금액","현금서비스이용금액","해외카드이용금액","신용카드기관수","체크카드기관수","카드사_최근1년_월평균_이용금액","가맹점합산이용금액","가맹점분류_이용비중1","가맹점분류_이용비중2","가맹점분류_이용비중3","가맹점분류_이용비중4","가맹점분류_이용비중5","가맹점분류_이용비중6","가맹점분류_이용비중7","가맹점분류_이용비중8","가맹점분류_이용비중9","가맹점분류_이용비중10","가맹점분류_이용비중11","가맹점분류_이용비중12","가맹점분류_이용비중13","가맹점분류_이용비중14","가맹점분류_이용비중15","가맹점분류_이용비중16","가맹점분류_이용비중17","가맹점분류_이용비중18","가맹점분류_이용비중19","배달앱_이용금액","제주도지역_이용금액","해외여행_이용금액","마케팅_슈퍼마켓_이용금액","마케팅_편의점_이용금액","마케팅_온라인쇼핑_이용금액","마케팅_소셜커머스_이용금액","온라인_카드사용_금액","온라인_카드사용_건수","오프라인_카드사용_금액","오프라인_카드사용_건수","주중_소비비중","3개월내_승인건수비중1","3개월내_승인건수비중2","3개월내_승인건수비중3","3개월내_승인건수비중4","3개월내_승인건수비중5","12개월내_월별_이용금액_평균","12개월내_월별_이용금액_표준편차","12개월내_월별_이용금액_최대값","12개월내_월별_이용금액_최소값","12개월내_이용금액_비중1","12개월내_이용금액_비중2","12개월내_이용금액_비중3","12개월내_이용금액_비중4","12개월내_이용금액_비중5","12개월내_이용금액_비중6","12개월내_이용금액_비중7","12개월내_이용금액_비중8","12개월내_이용금액_비중9","12개월내_이용금액_비중10","12개월내_이용금액_비중11","12개월내_이용금액_비중12","3개월내_택시_이용건수","3개월내_대중교통_총이용건수","3개월내_대중교통_이용건수1","3개월내_대중교통_이용건수2","3개월내_탑승정류장수","평일_이동_총횟수","휴일_이동_총횟수","평일_총이동거리","평일_이동속도_평균","휴일_총이동거리","휴일_이동속도_평균","택시이용_이동횟수","네비게이션이용_이동횟수","지하철_이동일수"
"중랑구",1966,"남",1,0,420,18,9,140,"세대주",0,0,1,0,0,6,55000,11,334640,203680,2,270000,200000,208100,18400,3641,3641,0,3617,2528,0,0,1,5,2,1694000,0.185033799717026,0,0,0,0.0762458732903632,0,0.0293978934129854,0,0,0,0.0163496305612325,0.28533249489074,0,0.0286118534821569,0,0,0,0,0.379028454645496,117000,0,0,0,5000,0,0,784000,9,1705000,120,0.77,0.12,0.15,0.19,0.19,0.06,1362000,919254.15,3916000,0,0.01,0,0.02,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0,67,36,1000,31,2000,36,1,2,57
"강서구",1971,"남",2,0,420,NA,NA,NA,"세대주",0,0,0,0,0,6,48000,16,792580,670350,1,0,0,0,0,12155,11777,378,11959,5784,0,0,4,2,7,12084000,0,0,0.0306358877542264,0.00909637003346778,0.055865442375354,0,0,0,0,0,0,0.309104951514631,0.179782030378443,0,0.0350553505535055,0,0.00652192568437312,0.320647043679739,0.0532909980262593,0,0,0,45000,90000,33000,134000,4431000,77,12891000,264,0.94,0.13,0.18,0.29,0.19,0.23,5254000,3758702.79,9595000,870000,0.01,0.01,0.03,0,0,0.09,0,0.07,0,0,0.13,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동대문구",1958,"남",0,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,26000,64,616410,639720,0,0,0,0,0,1346,1346,0,696,473,0,0,3,2,1,418000,0,0,0,0,0,0,0.0609482260858408,0,0,0,0,0.377879001732213,0,0.561172772181946,0,0,0,0,0,0,0,0,0,0,0,0,362000,8,0,0,1,0.14,0.66,1,0,0.05,1012000,604810.44,2189000,69000,0.02,0,0.03,0,0,0.01,0,0,0,0,0,0.01,0,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"송파구",1975,"남",2,1,430,NA,NA,NA,"세대주",0,0,0,0,0,6,70000,6,116580,118290,0,0,0,0,0,1311,1311,0,1111,693,0,0,1,1,1,865000,0,0,0,0,0.344911726711641,0,0,0,0,0.0160757858475671,0,0.0172240562652505,0,0,0,0,0,0.621788431175542,0,0,0,0,0,0,0,0,828000,12,577000,20,1,0.25,0.05,0.17,0.1,0,565000,85162.37,1290000,453000,0.34,0,0.06,0,0,0,0,0.08,0,0,0.25,0,0,15,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강남구",1954,"남",2,0,420,39,11,140,"세대주",0,0,0,0,0,6,19350,89,188890,186000,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773993808049536,0,0,0,0,0.226006191950464,0,290000,0,0,0,0,0,0,0,1000,1,0.71,0,1,0,0,0,85000,151925,492000,0,0.25,0.02,0.68,0,0,0.22,0,0.06,0,0,0,0,0,0,0,0,0,110,44,3400,31,2300,34,110,30,81
"강동구",1978,"여",4,0,910,NA,NA,NA,"세대주",0,0,1,0,0,6,28000,57,257500,230000,0,3000,0,2179,0,1594,0,1594,1554,0,0,0,0,9,1,1680000,0.344475109884494,0,0,0,0.148727384237964,0.00597976080956762,0.189052437902484,0.0397628539302872,0,0,0,0,0.00286210773791271,0.0826944699989778,0,0,0.00102218133496882,0.150925074108147,0.0344986200551978,145000,0,0,0,40000,0,30000,0,0,1735000,62,0.71,0.14,0,0.14,0.62,0,2110000,5643864.76,19301000,2000,0,0.03,0.05,0,0,0.23,0,0.02,0.01,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"송파구",1955,"남",0,1,510,70,16,180,"세대주",0,1,0,0,0,6,34000,39,2278980,2128750,0,0,0,0,0,3366,3366,0,2746,2018,0,0,1,0,2,2433000,0.103683774834437,0,0,0,0.152007450331126,0,0,0,0,0,0.0979925496688742,0,0,0.349648178807947,0,0,0,0.296668046357616,0,0,0,0,0,0,0,0,3187000,107,2204000,13,0.91,0.13,0.25,0.6,0.07,0,1654000,1157349.7,4088000,0,0.04,0,0,0,0,0.03,0,0.02,0,0,0.44,0.01,21,0,0,0,0,110,34,5300,50,340,27,31,7,71
"금천구",1953,"남",1,1,420,38,9,68,"세대주",0,0,0,0,0,6,36000,34,176250,166480,1,0,0,0,0,4,0,4,0,0,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,9674.04,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,880,17,820,20,9,0,42
"서대문구",1952,"여",0,1,420,22,4,140,"세대주",0,1,1,0,0,6,26000,64,1302100,1202080,0,8700,0,10000,0,2192,2192,0,1854,0,0,0,1,0,1,1691000,0.135268450009486,0,0,0,0.558527793587555,0,0,0,0,0,0,0.0385126162018592,0,0.00958072472016695,0,0,0.000284575981787137,0.0212483399734396,0.236577499525707,0,0,0,58000,23000,34000,0,464000,6,3473000,189,0.77,0.06,0.3,0.36,0.22,0.01,728000,420246.07,1343000,140000,0.09,0,0.11,0,0,0.1,0,0.06,0,0,0,0.02,0,0,0,0,0,60,13,2400,22,300,33,16,15,28
"관악구",1956,"남",1,1,420,54,21,240,"세대주",0,1,1,0,0,6,22000,78,382850,384000,0,21300,0,21300,0,2165,0,2165,2101,0,0,0,1,1,1,3466000,0.216463414634146,0,0,0,0.538308589607635,0.00821845174973489,0,0,0,0,0,0,0,0.237009544008484,0,0,0,0,0,0,0,0,58000,177000,0,0,1387000,12,2808000,137,0.66,0.03,0.22,0.28,0.18,0,943000,627204.02,2206000,509000,0.07,0.06,0.01,0,0,0.16,0,0.17,0,0,0.08,0.39,0,0,0,0,0,120,30,840,32,410,27,68,0,120
"중랑구",1959,"남",0,1,910,35,7,180,"세대주",0,0,1,0,0,6,NA,NA,0,0,0,1000,0,0,0,128,0,128,100,0,0,0,0,1,1,2686000,0.08058017727639,0,0,0,0.256782164920763,0.00792371743217835,0.0251141552511416,0,0,0,0,0,0,0.257185065807145,0,0,0.0222938490464679,0.350120870265915,0,0,0,0,120000,1000,0,0,0,0,2648000,132,0.62,0.07,0.27,0.32,0.07,0.03,4523000,2784835.3,11276000,588000,0,0,0,0,0,0.04,0,0.01,0,0,0,0.01,0,0,0,0,0,5,26,100,10,330,27,27,0,55
"양천구",1946,"남",3,0,510,45,12,360,"세대주",0,1,0,0,0,6,61000,9,632600,639720,0,0,0,0,0,718,709,9,457,600,0,0,3,1,1,625000,0.170634591455827,0,0,0.00414765657403567,0.0195769390294484,0,0.0223973454997926,0,0,0,0,0.783243467440896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727000,17,0,0,1,0.4,0,0.5,0.31,0,345000,166937.16,769000,162000,0,0,0.09,0,0,0.26,0,0.04,0,0,0.03,0.05,0,58,0,1,28,150,57,4000,43,920,29,23,2,140
"강남구",1983,"여",1,3,910,NA,NA,NA,"세대주",0,0,0,1,0,6,38000,30,367780,339310,0,0,0,0,0,6562,6562,0,6132,0,0,10,1,3,3,5875000,0.0379072969251951,0,0.0274437815511703,0.000826067003212483,0.080770995869665,0,0,0,0,0,0.00376319412574576,0.00119320789352914,0.66268930702157,0.0513079394217531,0,0,0,0,0.13409821018816,232000,0,0,0,6000,0,718000,2066000,100,2979000,59,0.75,0.07,0.21,0.26,0.42,0.02,2099000,1876653.71,7432000,830000,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강서구",1965,"남",0,2,420,NA,NA,NA,"세대주",0,0,1,0,0,6,61400,9,404450,402200,0,68000,0,50000,0,11768,11390,378,11944,2932,0,0,4,4,4,16188000,0.0663590419687981,0,0.01318391562294,0.003735442759833,0.42968578334432,0.0370248297077565,0,0.287629092507141,0,0,0.0466930344979126,0.0673478356405186,0.010327400571303,0.038013623379477,0,0,0,0,0,0,0,0,754000,42000,0,0,4088000,57,47249000,158,0.94,0.14,0.26,0.12,0.34,0.01,4151000,1204909.68,7250000,2435000,0.05,0,0.04,0,0,0.15,0,0.07,0.03,0,0.06,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강동구",1949,"여",1,0,420,48,14,1100,"세대주",0,1,1,0,0,6,21000,82,1607530,1607530,1,90000,130000,0,0,0,0,0,0,0,0,0,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21000,103230.69,378000,0,0.12,0.1,0,0,0,0.84,0.16,0.05,0,0.03,0,0.01,0,29,1,15,8,45,10,850,35,470,29,0,0,57
"서초구",1978,"남",2,0,420,120,18,680,"세대주",0,1,0,0,0,6,43000,22,1502260,1489200,0,0,0,0,0,646,0,646,653,0,0,0,1,3,1,1018000,0.43543683657996,0,0,0,0.142773824798787,0,0.0181966639449434,0,0,0,0,0.0394261052140441,0,0.056456316342004,0,0,0,0,0.307710253120261,297000,0,0,13000,40000,0,52000,79000,2,1177000,24,0.51,0.01,0.31,0.06,0.75,0.04,833000,384573.53,1505000,266000,0.05,0.01,0.29,0,0,0.43,0,0.11,0,0,0.32,0,0,0,0,0,0,93,45,1200,51,3300,62,48,17,61
"노원구",1969,"남",1,0,420,27,15,50,"세대주",0,0,1,0,0,6,34830,39,555800,500000,0,150000,0,130000,0,4546,1110,3436,5065,0,0,414,2,1,2,4545000,0.30950950950951,0,0,0.0394394394394394,0.507107107107107,0.000800800800800801,0,0,0,0,0.00940940940940941,0.0930930930930931,0,0.0406406406406406,0,0,0,0,0,0,0,7000,0,0,0,0,1331000,15,2532000,206,0.51,0.04,0.32,0.23,0.29,0,3438000,2640032.46,15462000,1566000,0.01,0,0,0,0,0.09,0,0,0,0,0.45,0,0,0,0,0,0,79,37,2600,40,2200,39,29,0,55
"서초구",1954,"남",0,0,510,7,11,13,"세대주",0,1,1,0,1,6,55000,11,2223270,2278980,0,285300,180000,330000,0,3959,3959,0,2700,1212,0,0,2,1,2,1694000,0.263970794720584,0,0,0.339651783206964,0.0522325189553496,0,0.004914349901713,0,0,0.0537068239258635,0,0.0142516147149677,0.0009126649817467,0.0462650940746981,0,0,0.0010530749789385,0.17158101656838,0.0514602639707947,882000,0,0,10000,25000,0,59000,606000,31,1401000,34,0.68,0.07,0.33,0.21,0.31,0,1362000,458470.32,1984000,300000,0.26,0,0.01,0,0,0.33,0,0.01,0,0,0.01,0.01,2,14,0,0,9,20,2,1100,24,9,0,14,0,9
"중랑구",1939,"남",2,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,37000,32,1015210,1014830,0,0,0,0,0,4800,4800,0,2003,4674,0,0,1,1,2,2681000,0.0365408038976857,0.00402885786564228,0,0.408132671226459,0.0613698116743184,0,0,0,0,0,0,0.003747774758737,0,0.301227396233486,0.0078703269933477,0,0.00140541553452638,0.175676941815797,0,0,0,0,0,0,294000,0,1969000,28,2615000,150,0.85,0.24,0.26,0.13,0,0.07,1223000,834141.35,2466000,91000,0.33,0,0.06,0,0,0.06,0,0.01,0,0,0.34,0,0,56,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"영등포구",1947,"남",2,0,420,NA,3,0,"세대주",0,1,1,0,0,6,43000,22,992270,942650,0,42300,0,48800,0,1987,1987,0,2204,0,0,0,1,1,1,495000,0.0488656195462478,0,0,0.12805410122164,0,0,0,0,0,0,0,0,0,0.358965968586387,0,0,0,0.464114310645724,0,0,0,0,0,0,0,0,190000,8,465000,6,0.51,0.2,0.27,0.4,0.13,0,1329000,2846395.87,10064000,18000,0.12,0,0,0,0,0.03,0,0.04,0.03,0,0.08,0.08,0,0,0,0,0,53,18,3900,33,3000,53,0,45,25
"동작구",1948,"남",2,0,420,22,5,100,"세대주",0,0,0,0,0,6,32000,44,130720,130720,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2000,0,0,0,0,0.465051388178394,0,0,0,0,0.465051388178394,0,0,0,0,0,0,0,0,0.0698972236432126,234000,0,0,0,6000,0,307000,65000,9,0,0,1,0.21,0.5,0,0,0.01,26000,63991.23,195000,44000,0.14,0,0.02,0,0,0.02,0,0.01,0,0,0,0,4,0,0,0,0,30,34,310,49,1700,46,12,2,32
"구로구",1965,"남",0,0,910,NA,NA,NA,"세대주",0,1,0,0,0,6,42000,23,704370,676550,0,0,0,0,0,1805,1357,448,1804,0,0,0,1,1,1,1842000,0,0,0.0220883534136546,0,0.498995983935743,0,0,0,0,0,0.0339692101740295,0,0,0.250836680053548,0,0,0,0.194109772423025,0,0,0,0,83000,73000,0,0,78000,4,1583000,109,0.67,0.08,0.17,0.19,0.19,0,664000,1320052.28,3442000,351000,0.03,0.03,0.01,0,0,0,0,0.04,0,0,0,0.02,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"송파구",1980,"여",1,2,910,NA,NA,NA,"세대주",0,0,0,0,0,6,30000,51,1001320,1025550,0,0,0,0,0,1678,1564,114,1779,0,0,0,2,3,1,341000,0,0,0,0,0.138224852071006,0,0,0,0,0,0,0.857751479289941,0.00402366863905325,0,0,0,0,0,0,0,0,0,0,0,0,0,1814000,64,35000,1,1,0.41,0.07,0.12,0,0,541000,1017666.12,4250000,532000,0,0,0.06,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1971,"남",4,0,420,41,9,100,"세대주",0,0,0,0,0,6,49000,15,400260,404310,0,0,0,0,0,513,0,513,482,0,0,0,0,1,1,264000,0.106597671410091,0,0,0,0.0659767141009056,0,0.0120741699008193,0,0,0,0,0.802501078050884,0,0,0,0,0,0.0128503665373006,0,0,0,0,0,0,0,0,728000,15,0,0,0.22,0.41,0.16,0.11,1,0.1,338000,167196.43,894000,223000,0,0,0.01,0,0.1,0.13,0,0.05,0,0,0.65,0,0,18,0,3,8,140,60,3800,36,2300,49,81,86,140
"중랑구",1953,"남",0,2,510,27,12,38,"세대주",0,0,0,0,0,6,47000,17,289580,294000,0,0,0,0,0,3364,3364,0,2045,1038,0,0,3,2,2,3381000,0.0252173913043478,0,0,0.00434782608695652,0,0,0.0375155279503106,0,0,0,0.00509316770186335,0.6,0.0195031055900621,0.159751552795031,0,0,0,0.148571428571429,0,0,0,0,0,5000,0,0,1856000,16,2871000,69,0.85,0.3,0.43,0,0.31,0,1136000,415429.96,2233000,775000,0.02,0,0.03,0,0,0.11,0,0,0,0,0.21,0.04,0,0,0,0,0,150,47,3800,38,1700,37,130,0,200
"서대문구",1955,"남",0,2,440,79,24,500,"세대주",0,0,1,0,0,6,120000,1,760210,442500,0,53000,0,32034,0,7753,7723,30,6035,2291,0,108,3,5,1,2309000,0,0,0,0.310611554266377,0,0,0.00652646845540247,0,0,0,0,0,0.0157118685037467,0.135847232293933,0.0174039158810732,0,0.278704375151076,0,0.235194585448393,0,0,0,0,0,27000,0,42000,6,2193000,28,0.89,0.14,0.39,0.03,0.06,0,2450000,2888240.95,8869000,451000,0.05,0,0.15,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,150,71,2900,66,1600,53,86,30,160
"은평구",1967,"여",0,0,510,NA,NA,NA,"세대주",0,0,1,0,1,6,30000,51,290000,288640,1,30000,0,30000,0,8907,591,8316,8340,0,0,8516,3,2,3,987000,0.200762276192164,0,0,0.202269101223187,0.167700762276192,0.0259705725935118,0.122496011345506,0,0,0,0,0.00212728239673817,0,0.0896117709625953,0,0,0.000354547066123028,0.0483956745257933,0.140312001418188,0,0,4767000,13000,0,0,0,0,0,902000,79,0.77,0.08,0.3,0.23,0.29,0,4543000,6054442.15,19864000,81000,0,0,0.07,0,0,0.03,0,0,0,0,0,0,0,12,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서대문구",1976,"남",3,1,510,NA,NA,NA,"세대주",0,0,0,0,0,6,53930,12,1045500,1041630,0,0,0,0,0,6598,6561,37,6623,0,0,0,3,2,3,6273000,0.108991037872217,0,0.0662041052327262,0.0770935723234075,0.131348173846006,0.01040763226366,0,0,0,0.0515563264912788,0,0.0117567697793196,0.268863833477884,0.187144646815072,0.000385467861617038,0,0,0,0.0862484340368122,0,0,0,287000,204000,0,60000,608000,10,5992000,284,0.56,0.06,0.33,0.19,0.26,0.03,2149000,385379.56,2509000,1405000,0.05,0.03,0.13,0,0,0.51,0.01,0.03,0,0,0,0.07,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"관악구",1950,"남",2,0,910,6,4,2,"세대주",0,0,0,0,0,6,22000,78,312430,262220,0,0,0,0,0,1430,1430,0,1559,0,0,0,1,0,1,1687000,0.102504638218924,0,0,0,0.810606060606061,0,0.00989486703772418,0,0,0,0,0.00633889919604205,0,0.0196351267779839,0,0,0.000773036487322202,0.0502473716759431,0,0,0,0,307000,285000,0,0,18000,3,1692000,44,0.67,0.09,0.3,0.2,0.23,0,487000,138791.83,683000,167000,0.01,0.19,0,0,0,0.13,0,0.12,0,0,0,0.03,0,0,0,0,0,3,0,4,6,0,0,2,0,0
